Date of Death,Confirmed Deaths,Confirmed Total,Probable Deaths,Probable Total
3/10/2020,0,0,1,1
3/11/2020,0,0,0,1
3/12/2020,0,0,0,1
3/13/2020,0,0,1,2
3/14/2020,0,0,0,2
3/15/2020,0,0,0,2
3/16/2020,0,0,0,2
3/17/2020,0,0,0,2
3/18/2020,2,2,0,2
3/19/2020,1,3,0,2
3/20/2020,2,5,0,2
3/21/2020,2,7,0,2
3/22/2020,4,11,0,2
3/23/2020,6,17,0,2
3/24/2020,9,26,0,2
3/25/2020,7,33,0,2
3/26/2020,9,42,1,3
3/27/2020,15,57,0,3
3/28/2020,15,72,0,3
3/29/2020,25,97,0,3
3/30/2020,28,125,0,3
3/31/2020,28,153,0,3
4/1/2020,36,189,0,3
4/2/2020,41,230,2,5
4/3/2020,38,268,1,6
4/4/2020,38,306,0,6
4/5/2020,68,374,0,6
4/6/2020,79,453,1,7
4/7/2020,71,524,0,7
4/8/2020,100,624,3,10
4/9/2020,112,736,2,12
4/10/2020,108,844,2,14
4/11/2020,120,964,4,18
4/12/2020,114,1078,5,23
4/13/2020,163,1241,7,30
4/14/2020,122,1363,9,39
4/15/2020,176,1539,6,45
4/16/2020,173,1712,4,49
4/17/2020,168,1880,8,57
4/18/2020,169,2049,5,62
4/19/2020,176,2225,4,66
4/20/2020,173,2398,8,74
4/21/2020,160,2558,1,75
4/22/2020,152,2710,0,75
4/23/2020,190,2900,3,78
4/24/2020,196,3096,4,82
4/25/2020,150,3246,1,83
4/26/2020,151,3397,2,85
4/27/2020,157,3554,6,91
4/28/2020,141,3695,3,94
4/29/2020,164,3859,5,99
4/30/2020,143,4002,1,100
5/1/2020,176,4178,2,102
5/2/2020,144,4322,3,105
5/3/2020,137,4459,3,108
5/4/2020,135,4594,3,111
5/5/2020,136,4730,4,115
5/6/2020,139,4869,6,121
5/7/2020,130,4999,3,124
5/8/2020,110,5109,5,129
5/9/2020,104,5213,9,138
5/10/2020,127,5340,1,139
5/11/2020,127,5467,2,141
5/12/2020,115,5582,2,143
5/13/2020,114,5696,0,143
5/14/2020,99,5795,4,147
5/15/2020,120,5915,3,150
5/16/2020,87,6002,5,155
5/17/2020,83,6085,0,155
5/18/2020,96,6181,1,156
5/19/2020,74,6255,2,158
5/20/2020,84,6339,0,158
5/21/2020,66,6405,3,161
5/22/2020,82,6487,1,162
5/23/2020,70,6557,0,162
5/24/2020,59,6616,2,164
5/25/2020,65,6681,1,165
5/26/2020,72,6753,0,165
5/27/2020,63,6816,2,167
5/28/2020,52,6868,1,168
5/29/2020,57,6925,2,170
5/30/2020,56,6981,1,171
5/31/2020,55,7036,1,172
6/1/2020,34,7070,0,172
6/2/2020,49,7119,0,172
6/3/2020,42,7161,1,173
6/4/2020,43,7204,0,173
6/5/2020,27,7231,0,173
6/6/2020,44,7275,0,173
6/7/2020,37,7312,0,173
6/8/2020,38,7350,0,173
6/9/2020,33,7383,0,173
6/10/2020,34,7417,0,173
6/11/2020,34,7451,1,174
6/12/2020,39,7490,1,175
6/13/2020,26,7516,2,177
6/14/2020,31,7547,0,177
6/15/2020,35,7582,0,177
6/16/2020,16,7598,1,178
6/17/2020,27,7625,0,178
6/18/2020,25,7650,1,179
6/19/2020,31,7681,0,179
6/20/2020,16,7697,0,179
6/21/2020,31,7728,0,179
6/22/2020,24,7752,0,179
6/23/2020,28,7780,1,180
6/24/2020,24,7804,0,180
6/25/2020,16,7820,0,180
6/26/2020,15,7835,0,180
6/27/2020,18,7853,0,180
6/28/2020,11,7864,0,180
